      x           Repeat         OMP         TBB          TF    speedup1    speedup2
           2           1       5.715       0.090       6.452       0.886       0.014
         839           1       1.094       0.195       0.740       1.478       0.264
        3274           1       4.192       0.785       0.946       4.429       0.829
        7299           1       9.064       1.471       6.956       1.303       0.211
       12889           1      15.978       2.195       8.292       1.927       0.265
       19998           1      24.726       6.349       8.241       3.000       0.770
       28547           1      35.478       8.960       8.871       3.999       1.010
       39067           1      48.371       9.694       7.189       6.728       1.349
       51159           1      63.113      10.697       7.102       8.887       1.506
       64654           1      79.006      13.908       5.011      15.767       2.776
       79530           1      97.889      14.522       3.971      24.652       3.657
       95841           1     118.847      20.023       3.619      32.836       5.532
      114331           1     140.908      20.129       4.270      32.997       4.714
      134094           1     166.486      24.025       5.073      32.817       4.736
      155606           1     192.571      27.400       5.910      32.585       4.636
      177975           1     221.350      29.784       6.938      31.906       4.293
      203184           1     251.460      32.623       7.962      31.582       4.097
      229110           1     284.241      36.858       9.073      31.328       4.062
      256530           1     318.161      42.542      10.435      30.490       4.077
      285250           1     354.179      46.319      11.607      30.513       3.990
      316456           1     393.477      51.902      13.087      30.067       3.966
      348930           1     434.605      57.367      14.049      30.934       4.083
      383251           1     475.361      62.638      15.880      29.935       3.945
      417876           1     516.559      69.691      17.717      29.156       3.934
      455837           1     560.883      77.157      19.282      29.089       4.002
      493961           1     616.476      83.219      21.076      29.250       3.949
      533917           1     661.478      90.607      22.984      28.780       3.942
      576250           1     715.459      98.858      25.828      27.701       3.828
      619726           1     773.016     106.766      26.441      29.236       4.038
      665059           1     826.475     112.978      28.539      28.960       3.959
      710850           1     884.013     120.694      29.510      29.957       4.090
