          x                      Repeat      OMP       TBB         TF            SP1        SP2           
           2                       10       0.077       0.017       0.679       0.113       0.026
         839                       10      10.818       4.929       5.687       1.902       0.867
        3274                       10      40.898       3.604      10.310       3.967       0.350
        7299                       10      90.429       6.104       7.636      11.842       0.799
       12889                       10     159.866       9.531       9.793      16.325       0.973
       19998                       10     246.932      14.563       7.779      31.743       1.872
       28547                       10     354.455      23.580       4.983      71.139       4.732
       39067                       10     481.080      32.398       5.394      89.195       6.007
       51159                       10     630.048      37.578       6.790      92.796       5.535
       64654                       10     793.186      46.641       8.660      91.590       5.386
       79530                       10     974.488      53.024      10.453      93.229       5.073
       95841                       10    1184.254      64.640      11.858      99.866       5.451
      114331                       10    1407.243      73.847      13.253     106.180       5.572
      134094                       10    1651.121      82.677      15.691     105.226       5.269
      155606                       10    1912.972      95.259      19.133      99.982       4.979
      177975                       10    2193.857     108.008      21.774     100.757       4.960
      203184                       10    2489.259     121.783      23.614     105.416       5.157
      229110                       10    2817.078     136.886      25.498     110.483       5.369
      256530                       10    3158.177     153.335      29.669     106.446       5.168
      285250                       10    3509.935     171.074      34.573     101.521       4.948
      316456                       10    3885.843     189.727      38.700     100.408       4.902
      348930                       10    4282.732     208.990      39.876     107.401       5.241
      383251                       10    4701.712     230.806      48.561      96.820       4.753
      417876                       10    5141.238     252.816      53.034      96.943       4.767
      455837                       10    5605.281     275.020      56.692      98.873       4.851
      493961                       10    6069.096     300.605      63.952      94.901       4.700
      533917                       10    6573.367     325.345      67.719      97.068       4.804
      576250                       10    7072.173     351.897      74.009      95.559       4.755
      619726                       10    7627.773     378.504      76.719      99.424       4.934
      665059                       10    8158.581     405.704      84.295      96.786       4.813
      710850                       10    8757.606     435.464      89.517      97.831       4.865
