          x           Repeat      OMP       TBB         TF            SP1        SP2           
            2                      100       0.782       0.068       0.792       0.987       0.085
          839                       100     108.551       5.601      11.632       9.332       0.482
         3274                       100     409.062      29.785       6.800      60.160       4.380
         7299                       100     905.035      49.713      11.053      81.878       4.498
        12889                       100    1592.568      76.867      17.106      93.098       4.493
        19998                       100    2477.725     114.186      26.918      92.046       4.242
        28547                       100    3557.243     156.629      32.467     109.564       4.824
        39067                       100    4823.159     206.894      39.228     122.951       5.274
        51159                       100    6276.420     269.831      50.093     125.294       5.387
        64654                       100    7948.289     335.084      67.521     117.716       4.963
        79530                       100    9778.154     405.327      76.118     128.460       5.325
        95841                       100   11818.017     488.221      88.860     132.996       5.494
       114331                       100   14069.573     575.700     107.082     131.390       5.376
       134094                       100   16482.514     670.450     121.422     135.746       5.522
       155606                       100   19109.099     775.298     130.586     146.333       5.937
       177975                       100   21924.919     886.495     159.562     137.407       5.556
       203184                       100   24939.223    1005.607     144.031     173.152       6.982
       229110                       100   28178.147    1132.089     190.400     147.995       5.946
       256530                       100   31517.306    1270.441     199.603     157.900       6.365
       285250                       100   35083.257    1416.722     223.967     156.645       6.326
       316456                       100   38876.175    1569.946     256.393     151.628       6.123
       348930                       100   42851.730    1731.121     299.288     143.179       5.784
       383251                       100   47078.897    1900.877     355.117     132.573       5.353
       417876                       100   51386.166    2077.116     372.074     138.108       5.583
       455837                       100   55995.038    2266.575     414.770     135.003       5.465
       493961                       100   60687.940    2462.164     441.178     137.559       5.581
       533917                       100   65653.860    2671.516     480.851     136.537       5.556
       576250                       100   70880.438    2884.793     540.817     131.062       5.334
       619726                       100   76157.207    3106.535     583.383     130.544       5.325
       665059                       100   81681.412    3331.115     632.173     129.207       5.269
       710850                       100   87474.990    3567.460     672.475     130.079       5.305
