           x                       Repeat      OMP       TBB         TF            SP1        SP2           
            2                        5       0.043       0.017       8.135       0.005       0.002
          839                        5       5.455       1.213       0.680       8.022       1.784
         3274                        5      20.553       1.989      11.948       1.720       0.166
         7299                        5      45.243       3.445      11.162       4.053       0.309
        12889                        5      79.616       5.494      10.347       7.695       0.531
        19998                        5     123.815       8.196       8.924      13.875       0.918
        28547                        5     177.278      10.410      10.345      17.137       1.006
        39067                        5     240.335      20.659       5.567      43.168       3.711
        51159                        5     314.201      22.874       4.878      64.406       4.689
        64654                        5     396.109      25.684       5.381      73.610       4.773
        79530                        5     489.024      33.814       6.174      79.207       5.477
        95841                        5     588.724      38.286       7.017      83.902       5.456
       114331                        5     704.097      43.539       8.856      79.502       4.916
       134094                        5     825.104      52.802      10.289      80.196       5.132
       155606                        5     956.111      56.980      11.562      82.693       4.928
       177975                        5    1097.753      63.456      13.599      80.725       4.666
       203184                        5    1238.894      72.015      15.839      78.216       4.547
       229110                        5    1409.489      80.892      16.709      84.357       4.841
       256530                        5    1580.252      91.437      19.874      79.515       4.601
       285250                        5    1755.123     101.582      22.405      78.336       4.534
       316456                        5    1947.513     113.258      24.642      79.032       4.596
       348930                        5    2143.155     126.220      29.215      73.358       4.320
       383251                        5    2354.123     137.374      32.269      72.952       4.257
       417876                        5    2567.997     150.973      36.103      71.129       4.182
       455837                        5    2806.608     166.801      37.021      75.810       4.506
       493961                        5    3041.079     179.352      40.285      75.489       4.452
       533917                        5    3283.214     194.509      43.669      75.185       4.454
       576250                        5    3542.756     211.090      47.326      74.858       4.460
       619726                        5    3807.743     225.716      49.631      76.721       4.548
       665059                        5    4095.355     241.187      55.289      74.072       4.362
       710850                        5    4366.770     258.843      58.791      74.276       4.403
