         x       Size            iter    OMP     TBB               TF       SP1           SP2
         1     711200           1      41.813     125.007      78.995       0.529       1.582
         2     711200           1     230.592     117.461      55.144       4.182       2.130
         3     711200           1     272.654     114.535      46.961       5.806       2.439
         4     711200           1     295.079     113.643      42.220       6.989       2.692
         5     711200           1     346.972     115.365      38.691       8.968       2.982
         6     711200           1     381.040     113.122      37.034      10.289       3.055
         7     711200           1     421.080     115.275      34.827      12.091       3.310
         8     711200           1     495.631     118.342      33.581      14.759       3.524
         9     711200           1     568.058     123.101      32.184      17.650       3.825
        10     711200           1     612.551     122.314      31.787      19.270       3.848
        11     711200           1     684.409     123.573      31.749      21.557       3.892
        12     711200           1     756.883     123.470      29.839      25.365       4.138
        13     711200           1     838.471     123.656      30.265      27.704       4.086
        14     711200           1     905.350     125.080      32.124      28.183       3.894
