x       Size            iter    OMP     TBB               TF       SP1           SP2
1      710465           1      41.510     121.879      78.093       0.532       1.561
2      710846           1     232.591     111.810      55.077       4.223       2.030
3      711277           1     275.502     111.616      50.471       5.459       2.211
4      710781           1     312.391     108.698      45.628       6.846       2.382 
5      710653           1     348.934     107.661      39.666       8.797       2.714
6      710747           1     382.986     108.091      39.223       9.764       2.756
7      710687           1     435.754     109.045      37.397      11.652       2.916
8      710014           1     484.659     109.961      32.928      14.719       3.339
9      711433           1     562.594     116.092      32.665      17.223       3.554
10     711096           1     617.181     115.916      32.488      18.997       3.568
11     711784           1     666.916     117.112      30.755      21.685       3.808
12     710064           1     748.651     119.975      30.800      24.307       3.895
13     711093           1     816.636     120.299      29.901      27.311       4.023
14     710850           1     884.013     120.694      29.510      29.957       4.090
