        x            Repeat   OMP          TBB      TF          S1            S2
        16           1         4.6           0         5.4    0.851852           0
         400           1           1           0         0.6     1.66667           0
        1296           1           5           0         8.6    0.581395           0
        2704           1        10.8           1         8.4     1.28571    0.119048
        4624           1        18.6         1.2           9     2.06667    0.133333
        7056           1        31.6         2.2         8.8     3.59091        0.25
       10000           1          40           4         8.8     4.54545    0.454545
       13456           1        54.2         5.2         7.8     6.94872    0.666667
       17424           1        72.6         6.8         5.8     12.5172     1.17241
       21904           1          89         8.4         4.2     21.1905           2
       26896           1       108.4        10.4         3.2      33.875        3.25
       32400           1       131.8        13.2           4       32.95         3.3
       38416           1       155.8        16.2           5       31.16        3.24
       44944           1       184.8        19.8         6.2     29.8065     3.19355
       51984           1       214.2        24.6         7.2       29.75     3.41667
       59536           1       243.8        29.2         8.2     29.7317     3.56098
       67600           1         276        33.2          10        27.6        3.32
       76176           1         315        37.2        11.6     27.1552      3.2069
       85264           1       350.4        42.8          14     25.0286     3.05714
       94864           1       391.6        47.2        14.4     27.1944     3.27778
      104976           1       427.4          53        15.8     27.0506     3.35443
      115600           1       475.8          59        17.6     27.0341     3.35227
      126736           1       524.6          64        19.2     27.3229     3.33333
      138384           1         571        71.6        21.2      26.934     3.37736
      150544           1         619        77.8        23.4      26.453     3.32479
      163216           1       668.8        85.6        25.8     25.9225     3.31783
      176400           1       727.8        96.6        28.4     25.6268     3.40141
      190096           1         778       104.4        30.6     25.4248     3.41176
      204304           1       835.4       108.8        33.6     24.8631      3.2381
      219024           1       896.6       116.4        36.2      24.768     3.21547
      234256           1       964.2       123.4          38     25.3737     3.24737
      250000           1      1026.2       128.6          41     25.0293     3.13659
