           x           Repeat      OMP       TBB         TF            SP1        SP2
          16          10           0           0         0.6           0           0
         400          10          16           0        10.6     1.50943           0
        1296          10          52           1          11     4.72727   0.0909091
        2704          10         109           2           7     15.5714    0.285714
        4624          10       187.6           5         6.8     27.5882    0.735294
        7056          10       286.8           7         5.6     51.2143        1.25
       10000          10       404.4          10           4       101.1         2.5
       13456          10       547.4        14.2           4      136.85        3.55
       17424          10       709.2        23.6           5      141.84        4.72
       21904          10       891.4        33.6         6.2     143.774     5.41935
       26896          10      1090.4        45.6         7.8     139.795     5.84615
       32400          10      1314.6        59.6         8.8     149.386     6.77273
       38416          10      1555.2          74        11.8     131.797     6.27119
       44944          10      1820.6        88.2        14.2     128.211     6.21127
       51984          10      2102.4       104.2        13.8     152.348     7.55072
       59536          10      2427.2       119.4        15.8      153.62     7.55696
       67600          10        2756       136.4        18.6     148.172     7.33333
       76176          10      3097.2       156.8        20.8     148.904     7.53846
       85264          10      3478.8       175.2        23.4     148.667     7.48718
       94864          10      3874.2         193        24.4     158.779     7.90984
      104976          10      4251.8         213          28      151.85     7.60714
      115600          10      4697.2       237.2        31.6     148.646     7.50633
      126736          10      5097.6       259.6        34.8     146.483     7.45977
      138384          10        5610       284.8        39.6     141.667     7.19192
      150544          10      6119.4         310          43     142.312      7.2093
      163216          10      6641.2       335.6        47.2     140.703     7.11017
      176400          10      7183.6       364.6        51.4     139.759     7.09339
      190096          10      7774.8       390.6        56.4     137.851     6.92553
      204304          10      8300.4       420.6        63.4     130.921     6.63407
      219024          10      8969.4       450.6        67.4     133.077     6.68546
      234256          10      9491.6       482.6          73     130.022     6.61096
      250000          10     10212.4       511.2        76.2     134.021     6.70866
