           x           Repeat     OMP         TBB       TF           SP1          SP2
          16           5           0           0         2.4           0           0
         400           5           8           0         8.2     0.97561           0
        1296           5          26           1        11.4      2.2807   0.0877193
        2704           5        54.2           1         9.8     5.53061    0.102041
        4624           5        93.4           3           8      11.675       0.375
        7056           5       143.2           4         7.6     18.8421    0.526316
       10000           5       203.4           7           6        33.9     1.16667
       13456           5       274.8           9         5.2     52.8462     1.73077
       17424           5       354.6          12         3.4     104.294     3.52941
       21904           5       445.4          15           4      111.35        3.75
       26896           5       549.6        22.4           5      109.92        4.48
       32400           5       664.2          31           6       110.7     5.16667
       38416           5       780.2          41         8.2     95.1463           5
       44944           5       917.4        50.2         9.8     93.6122     5.12245
       51984           5      1060.6        59.4        10.4     101.981     5.71154
       59536           5        1215        69.6        11.8     102.966     5.89831
       67600           5      1384.2        79.2        13.4     103.299     5.91045
       76176           5        1559        90.2        15.6     99.9359     5.78205
       85264           5      1740.6       101.4        17.2     101.198     5.89535
       94864           5        1944       112.8        18.8     103.404           6
      104976           5      2132.2       124.4        22.2      96.045      5.6036
      115600           5      2335.6       138.4        24.2     96.5124     5.71901
      126736           5      2586.4       153.6        27.4     94.3942     5.60584
      138384           5        2823       167.8        31.4     89.9045     5.34395
      150544           5      3048.6       180.8          34     89.6647     5.31765
      163216           5        3325       197.4        37.2     89.3817     5.30645
      176400           5      3565.2       213.8        40.6     87.8128     5.26601
      190096           5      3862.8       231.4        44.8     86.2232     5.16518
      204304           5      4127.6       248.4          51     80.9333     4.87059
      219024           5      4481.8       267.2          55     81.4873     4.85818
      234256           5      4768.6       283.2        56.8     83.9542     4.98592
      250000           5      5091.2       301.6        60.8     83.7368     4.96053
