    x            B        OMP           TBB         TF       SP1          SP2
1           1       113.6          91        58.8     1.93197     1.54762 
2           1       209.2       105.6        50.6     4.13439     2.08696 
3           1       281.8         111        45.8     6.15284     2.42358
4          1       306.8       112.8        42.8     7.16822     2.63551
5           1         358       115.4        42.2     8.48341      2.7346
6           1       411.4       115.8        41.2     9.98544     2.81068
7           1         477       116.8          41     11.6341     2.84878 
8           1       544.6       120.4        40.8      13.348     2.95098
9           1       631.4       122.4          42     15.0333     2.91429
10           1         699       127.2        41.4     16.8841     3.07246
11           1         765         127        42.2      18.128     3.00948
12           1       861.6       127.8          40       21.54       3.195
13           1         937       130.4        41.8     22.4163     3.11962
14           1      1026.2       128.6          41     25.0293     3.13659
