      x           Repeat         OMP         TBB          TF    speedup1    speedup2
           2           1       5.985       0.093      13.723       0.436       0.007
         871           1       1.084       0.176       6.054       0.179       0.029
        3245           1       4.184       0.693      13.050       0.321       0.053
        7342           1       9.104       1.477      13.255       0.687       0.111
       12795           1      16.177       2.182      11.530       1.403       0.189
       20096           1      25.189       8.026       9.515       2.647       0.844
       28863           1      35.850       7.023       9.881       3.628       0.711
       39151           1      48.282       7.248       8.992       5.369       0.806
       51166           1      63.499      13.136       7.005       9.065       1.875
       64524           1      79.799      13.070       5.510      14.483       2.372
       79412           1      98.723      13.184       5.078      19.442       2.596
       96316           1     118.999      15.988       3.872      30.735       4.129
      114805           1     141.972      20.806       4.730      30.013       4.398
      134479           1     166.644      23.242       5.673      29.377       4.097
      155197           1     194.887      25.787       6.522      29.882       3.954
      177958           1     222.175      29.594       7.406      30.000       3.996
      202742           1     253.652      33.151       8.459      29.985       3.919
      229003           1     286.982      36.563       9.837      29.174       3.717
      256393           1     319.798      41.803      11.109      28.787       3.763
      286052           1     356.536      47.409      12.340      28.893       3.842
      316193           1     397.296      51.084      13.636      29.136       3.746
      348714           1     436.371      56.227      15.094      28.911       3.725
      382551           1     476.095      62.393      16.937      28.109       3.684
      417899           1     520.970      69.019      18.756      27.776       3.680
      455716           1     569.037      75.693      20.289      28.046       3.731
      493839           1     618.832      82.631      22.073      28.035       3.744
      534321           1     669.887      89.750      23.942      27.980       3.749
      575717           1     716.842      98.888      26.933      26.616       3.672
      619451           1     766.556     106.913      28.638      26.767       3.733
      664382           1     825.753     111.291      30.095      27.438       3.698
      711729           1     886.803     119.396      31.816      27.873       3.753
