          x           Repeat      OMP       TBB         TF            SP1        SP2
            2         10       0.081       0.013       0.597       0.135       0.022
          871         10      11.007       2.170      12.993       0.847       0.167
         3245         10      41.101       3.582      12.898       3.187       0.278
         7342         10      91.249       5.804      12.459       7.324       0.466
        12795         10     160.629      12.531       9.630      16.680       1.301
        20096         10     249.911      15.241       8.175      30.571       1.864
        28863         10     356.745      18.146       7.727      46.166       2.348
        39151         10     485.688      26.323       7.489      64.850       3.515
        51166         10     631.045      32.894       9.435      66.882       3.486
        64524         10     798.112      43.056      11.200      71.263       3.844
        79412         10     982.940      49.131      13.610      72.223       3.610
        96316         10    1188.653      61.048      16.429      72.351       3.716
       114805         10    1409.735      71.181      18.369      76.744       3.875
       134479         10    1654.964      81.895      21.387      77.381       3.829
       155197         10    1921.515      94.672      23.633      81.305       4.006
       177958         10    2198.507     107.160      26.979      81.489       3.972
       202742         10    2506.844     121.404      29.745      84.278       4.082
       229003         10    2817.771     135.647      33.840      83.267       4.008
       256393         10    3166.944     152.285      37.243      85.035       4.089
       286052         10    3524.232     170.343      42.488      82.947       4.009
       316193         10    3910.301     188.765      47.486      82.346       3.975
       348714         10    4308.338     208.687      52.732      81.703       3.958
       382551         10    4716.052     231.373      58.836      80.156       3.933
       417899         10    5153.534     250.978      65.743      78.389       3.818
       455716         10    5626.579     274.104      70.463      79.852       3.890
       493839         10    6107.295     299.884      77.465      78.839       3.871
       534321         10    6598.268     324.954      86.198      76.548       3.770
       575717         10    7117.116     352.533      92.007      77.354       3.832
       619451         10    7649.823     376.758      95.340      80.237       3.952
       664382         10    8182.604     404.812     104.164      78.555       3.886
       711729         10    8774.426     433.268     109.110      80.418       3.971
