     x           Repeat      OMP       TBB         TF            SP1        SP2
      2         100       0.768       0.055      10.946       0.070       0.005
    871         100     109.309       9.952      11.114       9.835       0.895
   3245         100     411.803      21.783      10.209      40.337       2.134
   7342         100     910.610      41.749      18.265      49.857       2.286
  12795         100    1599.612      68.382      27.221      58.763       2.512
  20096         100    2492.075     108.207      36.690      67.922       2.949
  28863         100    3569.490     152.180      48.806      73.137       3.118
  39151         100    4846.865     201.890      61.842      78.375       3.265
  51166         100    6318.576     262.692      75.552      83.632       3.477
  64524         100    7976.571     328.566      90.964      87.689       3.612
  79412         100    9848.401     403.712     108.927      90.413       3.706
  96316         100   11885.433     485.692     125.923      94.386       3.857
 114805         100   14133.754     573.174     145.829      96.920       3.930
 134479         100   16553.480     668.652     163.028     101.538       4.101
 155197         100   19210.493     771.927     183.458     104.713       4.208
 177958         100   22037.102     881.484     204.864     107.569       4.303
 202742         100   25016.719    1003.449     229.345     109.079       4.375
 229003         100   28262.940    1128.576     255.924     110.435       4.410
 256393         100   31655.419    1265.327     290.854     108.836       4.350
 286052         100   35265.911    1411.116     325.437     108.365       4.336
 316193         100   39062.793    1564.140     368.606     105.974       4.243
 348714         100   43102.356    1722.900     410.961     104.882       4.192
 382551         100   47222.448    1896.701     452.620     104.331       4.190
 417899         100   51578.941    2073.888     502.562     102.632       4.127
 455716         100   56188.146    2256.495     548.286     102.480       4.116
 493839         100   60911.066    2454.652     602.852     101.038       4.072
 534321         100   65958.347    2659.522     647.621     101.847       4.107
 575717         100   71217.367    2877.402     705.510     100.945       4.078
 619451         100   76425.867    3096.785     751.332     101.720       4.122
 664382         100   81972.804    3326.184     812.754     100.858       4.092
 711729         100   87870.737    3559.161     865.192     101.562       4.114
