           x          Repeat      OMP       TBB         TF            SP1        SP2
            2          5       0.044       0.012       1.242       0.035       0.010
          871          5       5.513       1.207       8.153       0.676       0.148
         3245          5      20.865       1.986      12.925       1.614       0.154
         7342          5      45.504       3.462      12.515       3.636       0.277
        12795          5      80.270       7.640      11.181       7.179       0.683
        20096          5     124.348      12.883       8.789      14.148       1.466
        28863          5     178.115      12.689       9.160      19.445       1.385
        39151          5     242.805      20.238       6.091      39.866       3.323
        51166          5     314.924      24.192       5.931      53.100       4.079
        64524          5     398.636      24.706       7.730      51.569       3.196
        79412          5     491.692      31.663       7.851      62.626       4.033
        96316          5     597.004      36.587       9.262      64.460       3.950
       114805          5     706.123      42.060      10.872      64.951       3.869
       134479          5     828.758      49.257      12.803      64.734       3.847
       155197          5     958.213      56.209      14.785      64.810       3.802
       177958          5    1103.984      62.828      16.766      65.847       3.747
       202742          5    1255.093      71.017      18.919      66.339       3.754
       229003          5    1413.086      80.253      21.917      64.476       3.662
       256393          5    1581.086      90.540      24.155      65.457       3.748
       286052          5    1762.605     101.066      26.614      66.228       3.797
       316193          5    1961.829     112.202      30.581      64.151       3.669
       348714          5    2153.865     124.146      33.816      63.694       3.671
       382551          5    2362.477     136.630      38.236      61.786       3.573
       417899          5    2576.181     149.446      40.564      63.509       3.684
       455716          5    2802.557     163.860      45.022      62.249       3.640
       493839          5    3042.546     177.263      48.381      62.887       3.664
       534321          5    3290.897     193.254      51.435      63.981       3.757
       575717          5    3559.492     211.635      54.902      64.833       3.855
       619451          5    3816.297     224.054      58.962      64.725       3.800
       664382          5    4099.887     241.430      63.846      64.215       3.781
       711729          5    4387.694     257.752      68.142      64.391       3.783
