  x     Size           iter      OMP        TBB          TF          SP1         SP2
  1    711200           1      42.446     124.581      82.931       0.512       1.502
  2    711200           1     233.595     118.289      62.182       3.757       1.902
  3    711200           1     275.392     117.534      52.939       5.202       2.220
  4    711200           1     299.207     111.679      46.185       6.478       2.418
  5    711200           1     344.730     114.788      41.682       8.271       2.754
  6    711200           1     390.783     117.079      38.544      10.139       3.038
  7    711200           1     438.248     117.409      37.044      11.830       3.169
  8    711200           1     483.767     116.135      35.224      13.734       3.297
  9    711200           1     557.598     121.516      35.101      15.885       3.462
 10    711200           1     635.762     120.331      33.175      19.164       3.627
 11    711200           1     670.264     121.550      33.058      20.275       3.677
 12    711200           1     768.811     123.521      32.838      23.413       3.762
 13    711200           1     836.793     124.845      32.055      26.105       3.895
 14    711200           1     879.922     124.660      33.432      26.320       3.729
