           x            Repeat   OMP          TBB      TF          S1            S2
          16         100         5.6           0         2.8           2           0
         400         100       162.8          11         9.2     17.6957     1.19565
        1296         100       525.6        28.8        11.2     46.9286     2.57143
        2704         100      1105.6        54.4        16.6     66.6024     3.27711
        4624         100      1900.2          91        22.2     85.5946      4.0991
        7056         100        2897       133.4        30.2     95.9272     4.41722
       10000         100      4099.8         189        39.6      103.53     4.77273
       13456         100      5498.2         252        51.2     107.387     4.92188
       17424         100      7124.2       325.2          63     113.083      5.1619
       21904         100      8992.2       406.6        76.6     117.392     5.30809
       26896         100       11007         496        92.8      118.61     5.34483
       32400         100     13216.8         607       110.6     119.501     5.48825
       38416         100     15842.8       714.2       129.6     122.244      5.5108
       44944         100     18277.8       844.4       152.4     119.933     5.54068
       51984         100     21318.4       971.8       175.2      121.68      5.5468
       59536         100     24599.8      1123.8       198.8     123.741     5.65292
       67600         100     28080.4      1266.8       226.8     123.811     5.58554
       76176         100     31366.4      1439.6       253.4     123.782     5.68114
       85264         100     35155.6      1619.6         283     124.225     5.72297
       94864         100     38736.8      1811.4       314.8     123.052     5.75413
      104976         100     42761.6      1973.4         347     123.232     5.68703
      115600         100     47439.8      2188.2       382.4     124.058     5.72228
      126736         100     51877.8      2404.8       415.8     124.766     5.78355
      138384         100     56422.6      2671.8       456.4     123.625     5.85408
      150544         100     61601.6      2899.8         495     124.448     5.85818
      163216         100     66304.8      3132.6         537     123.473     5.83352
      176400         100     72331.8      3378.4       579.8     124.753     5.82684
      190096         100     77977.6      3661.4       624.6     124.844     5.86199
      204304         100     84368.8        3887         675     124.991     5.75852
      219024         100     89868.8      4129.6       713.6     125.937       5.787
      234256         100     96295.4      4500.6       761.2     126.505     5.91251
      250000         100      102718      4796.6       813.6     126.252     5.89553
