   x            B        OMP           TBB         TF       SP1          SP2
   1           1         207         135       103.6     1.99807     1.30309
   2           1       209.6       118.4        82.8      2.5314     1.42995
   3           1         230         114        71.4     3.22129     1.59664 
   4           1       313.2       119.6        67.2     4.66071     1.77976
   5           1       376.4       117.8        63.2      5.9557     1.86392 
   6           1       416.4       121.8        61.4     6.78176     1.98371
   7           1       481.6       123.8        58.4     8.24658     2.11986
   8           1       544.6       123.4        59.8     9.10702     2.06355
   9           1       649.2       129.6        56.8     11.4296     2.28169
  10           1       689.4       132.6        56.2     12.2669     2.35943 
  11           1       800.8       133.2        54.6     14.6667     2.43956
  12           1       860.2       131.2        54.4     15.8125     2.41176
  13           1         949       136.6        53.6     17.7052     2.54851
  14           1      1032.4       136.6        51.8     19.9305     2.63707
